MovieID,rating_count,rating_mean,rating_std,rating_min,rating_max,rating_median,Year,Title,movie_age,title_length,era,popularity_level
1,547,3.749542961608775,1.0679199817573568,1,5,4.0,2003,Dinosaur Planet,3,15,modern,medium
2,145,3.5586206896551724,1.2795173898614485,1,5,4.0,2004,Isle of Man TT 2004 Review,2,26,modern,very_low
3,2012,3.6411530815109345,0.9773446924510338,1,5,4.0,1997,Character,9,9,nineties,high
4,142,2.73943661971831,1.3029131433349719,1,5,3.0,1994,Paula Abdul's Get Up & Dance,12,28,nineties,very_low
5,1140,3.9192982456140353,1.2924361023518398,1,5,4.0,2004,The Rise and Fall of ECW,2,24,modern,high
6,1019,3.084396467124632,1.2902619644715434,1,5,3.0,1997,Sick,9,4,nineties,high
7,93,2.129032258064516,1.0756778090804453,1,5,2.0,1992,8 Man,14,5,nineties,very_low
8,14910,3.1898054996646548,1.3145366493375032,1,5,3.0,2004,What the #$*! Do We Know!?,2,26,modern,very_high
9,95,2.6210526315789475,1.247797611866272,1,5,3.0,1991,Class of Nuke 'Em High 2,15,24,nineties,very_low
10,249,3.180722891566265,1.133911780930748,1,5,3.0,2001,Fighter,5,7,modern,low
11,198,3.0303030303030303,1.1033363842192643,1,5,3.0,1999,Full Frame: Documentary Shorts,7,30,nineties,low
12,546,3.4175824175824174,1.0586396054823366,1,5,3.0,1947,My Favorite Brunette,59,20,classic,medium
13,125,4.552,0.6654612758661613,2,5,5.0,2003,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,3,75,modern,very_low
14,118,3.0254237288135593,1.1872676698091336,1,5,3.0,1982,Nature: Antarctica,24,18,eighties,very_low
15,290,3.286206896551724,1.1635240997710885,1,5,3.0,1988,Neil Diamond: Greatest Hits Live,18,32,eighties,low
16,2699,3.0985550203779177,0.9869016826790927,1,5,3.0,1996,Screamers,10,9,nineties,high
17,7108,2.90320765334834,1.0123347101769091,1,5,3.0,2005,7 Seconds,1,9,modern,very_high
18,10722,3.7843685879500093,0.9463482741552822,1,5,4.0,1994,Immortal Beloved,12,16,nineties,very_high
19,539,3.324675324675325,1.071931358235769,1,5,3.0,2000,By Dawn's Early Light,6,21,modern,medium
20,116,3.146551724137931,1.2318548075429043,1,5,3.0,1972,Seeta Aur Geeta,34,15,vintage,very_low
21,218,3.463302752293578,1.002775921366111,1,5,3.5,2002,Strange Relations,4,17,modern,low
22,203,2.2463054187192117,1.0892924605786374,1,5,2.0,2000,Chump Change,6,12,modern,low
23,615,3.55609756097561,1.1427541407918733,1,5,4.0,2001,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,5,68,modern,medium
24,1333,2.9939984996249063,1.0618811527569023,1,5,3.0,1981,My Bloody Valentine,25,19,eighties,high
25,1207,3.9701739850869924,1.0265651656645227,1,5,4.0,1997,Inspector Morse 31: Death Is Now My Neighbour,9,45,nineties,high
26,5861,2.7937212079849854,1.088695319348331,1,5,3.0,2004,Never Die Alone,2,15,modern,very_high
27,273,3.5274725274725274,1.2248108438051895,1,5,4.0,1962,Sesame Street: Elmo's World: The Street We Live On,44,50,vintage,low
28,39752,3.823254175890521,0.9722597493188628,1,5,4.0,2002,Lilo and Stitch,4,15,modern,very_high
29,523,3.598470363288719,1.1035286283132641,1,5,4.0,2001,Boycott,5,7,modern,medium
30,118413,3.7618420274800908,0.9387407654486459,1,5,4.0,2003,Something's Gotta Give,3,22,modern,very_high
31,221,3.0542986425339365,1.3027042088907925,1,5,3.0,1999,Classic Albums: Meat Loaf: Bat Out of Hell,7,42,nineties,low
32,1854,4.071736785329018,1.1665094095942878,1,5,4.0,2004,ABC Primetime: Mel Gibson's The Passion of the Christ,2,53,modern,high
33,6890,4.168650217706822,1.1528570886431508,1,5,5.0,2000,Aqua Teen Hunger Force: Vol. 1,6,30,modern,very_high
34,108,2.712962962962963,1.2682383537726354,1,5,3.0,2003,Ashtanga Yoga: Beginner's Practice with Nicki Doane,3,51,modern,very_low
35,839,3.1454112038140645,1.1280010796633044,1,5,3.0,2000,Ferngully 2: The Magical Rescue,6,31,modern,medium
36,939,3.020234291799787,1.1065879233221532,1,5,3.0,1992,Lady Chatterley,14,15,nineties,medium
37,281,3.9893238434163703,0.9764512487469418,1,5,4.0,1973,Zatoichi's Conspiracy,33,21,vintage,low
38,802,2.0511221945137157,1.153025651206748,1,5,2.0,2003,Daydream Obsession,3,18,modern,medium
39,752,2.4361702127659575,1.1358673488153803,1,5,2.0,2000,Love Reinvented,6,15,modern,medium
40,491,2.920570264765784,1.0651264563477765,1,5,3.0,2004,Pitcher and the Pin-Up,2,22,modern,medium
41,93,1.6344086021505377,0.7910497460936096,1,5,1.0,2000,Horror Vision,6,13,modern,very_low
42,128,2.328125,0.9483460529893465,1,5,2.0,2002,Searching for Paradise,4,22,modern,very_low
43,105,2.5714285714285716,1.2849509333429434,1,5,3.0,2000,Silent Service,6,14,modern,very_low
44,8501,3.6840371720974003,0.9697376142547145,1,5,4.0,1996,Spitfire Grill,10,14,nineties,very_high
45,2619,2.9686903398243603,0.9633134122792842,1,5,3.0,1999,The Love Letter,7,15,nineties,high
